iter	Passed	Remaining
206	278	1067
207	279	1062
208	279	1058
209	280	1054
210	280	1050
211	281	1046
212	282	1042
213	282	1038
214	283	1034
215	283	1030
216	284	1026
217	285	1022
218	285	1019
219	286	1015
220	287	1011
221	287	1008
222	288	1004
223	289	1001
224	289	997
225	290	993
226	290	990
227	291	986
228	291	982
229	292	979
230	293	975
231	293	972
232	294	969
233	295	966
234	295	962
235	296	959
236	296	955
237	297	952
238	298	950
239	299	946
240	299	943
241	300	940
242	300	937
243	301	933
244	301	930
245	302	927
246	303	924
247	303	921
248	304	918
249	305	915
250	305	912
251	306	909
252	307	906
253	307	903
254	308	900
255	308	897
256	309	894
257	310	891
258	310	888
259	311	885
260	311	883
261	312	880
262	313	877
263	313	874
264	314	871
265	314	869
266	315	866
267	316	863
268	317	861
269	317	858
270	318	856
271	318	853
272	319	851
273	320	848
274	320	845
275	321	843
276	322	840
277	322	837
278	323	835
279	323	832
280	324	830
281	325	827
282	325	825
283	326	822
284	327	820
285	327	818
286	328	815
287	329	813
288	329	811
289	330	809
290	331	806
291	331	804
292	332	802
293	333	800
294	333	797
295	334	795
296	334	792
297	335	790
298	336	788
299	336	785
300	337	783
301	337	780
302	338	778
303	339	776
304	339	773
305	340	771
306	340	769
307	341	767
308	342	765
309	343	764
310	343	762
311	344	759
312	345	757
313	345	755
314	346	753
315	347	751
316	347	749
317	348	747
318	349	745
319	349	743
320	350	741
321	351	739
322	351	737
323	352	735
324	352	733
325	353	730
326	354	728
327	354	726
328	355	724
329	356	722
330	356	720
331	357	718
332	357	716
333	358	714
334	358	712
335	359	710
336	360	708
337	360	706
338	361	704
339	362	702
340	362	700
341	363	699
342	364	697
343	364	695
344	365	693
345	365	691
346	366	689
347	367	687
348	367	685
349	368	683
350	368	681
351	369	680
352	370	678
353	370	676
354	371	674
355	371	672
356	372	670
357	373	669
358	373	667
359	374	665
360	375	663
361	375	662
362	376	660
363	376	658
364	377	656
365	378	655
366	378	653
367	379	651
368	379	649
369	380	647
370	380	645
371	381	644
372	382	642
373	382	640
374	383	638
375	383	637
376	384	635
377	385	633
378	385	631
379	386	630
380	386	628
381	387	626
382	387	624
383	388	623
384	389	621
385	389	620
386	390	618
387	391	616
388	391	615
389	392	613
390	393	612
391	393	610
392	394	608
393	394	607
394	395	605
395	396	604
396	396	602
397	397	601
398	398	599
399	398	598
400	399	596
401	400	595
402	400	593
403	401	591
404	401	590
405	402	588
406	403	587
407	403	585
408	404	584
409	404	582
410	405	581
411	406	579
412	406	577
413	407	576
414	407	574
415	408	573
416	408	571
417	409	570
418	410	568
419	411	567
420	411	566
421	412	564
422	413	563
423	413	562
424	414	560
425	414	559
426	415	557
427	416	556
428	416	554
429	417	553
430	418	552
431	418	550
432	419	549
433	420	547
434	420	546
435	421	544
436	422	543
437	422	542
438	423	540
439	423	539
440	424	538
441	425	536
442	425	535
443	426	534
444	427	532
445	427	531
446	428	529
447	428	528
448	429	527
449	430	525
450	430	524
451	431	523
452	432	521
453	432	520
454	433	518
455	433	517
456	434	516
457	435	514
458	435	513
459	436	512
460	436	510
461	437	509
462	438	508
463	438	507
464	439	505
465	440	504
466	440	503
467	441	501
468	442	500
469	442	499
470	443	498
471	444	496
472	444	495
473	445	494
474	446	493
475	446	491
476	447	490
477	447	489
478	448	487
479	449	486
480	449	485
481	450	484
482	451	482
483	451	481
484	452	480
485	453	479
486	453	478
487	454	476
488	454	475
489	455	474
490	456	472
491	456	471
492	457	470
493	457	469
